review,analysis,k_total,early_effect,midpoint_effect,final_effect,decay_ratio,direction_change,trajectory_cv,max_cumulative_shift,early_year,final_year
CD000028_pub4_data.rds,1::1.0,12,-0.060016,-0.189476,-0.19015,3.168305,False,0.4126,0.093676,1986,1993
CD000028_pub4_data.rds,1::2.0,10,1.404387,0.051095,0.159884,0.113846,False,1.2174,0.679978,1986,1999
CD000028_pub4_data.rds,1::nan,12,0.198748,-0.083284,-0.094319,0.474563,True,3.464,0.171015,1981,1999
CD000028_pub4_data.rds,2::1.0,21,-0.278506,-0.437977,-0.427394,1.534596,False,0.1734,0.074544,1985,1999
CD000028_pub4_data.rds,2::2.0,18,-0.109558,-0.362658,-0.271749,2.480423,False,0.4282,0.127217,1986,1999
CD000028_pub4_data.rds,3::1.0,11,-0.372932,-0.459652,-0.445631,1.194939,False,0.1046,0.134716,1986,1993
CD000028_pub4_data.rds,3::2.0,9,-1.654167,-0.670028,-0.56369,0.34077,False,0.4472,0.779047,1986,1999
CD000028_pub4_data.rds,3::nan,14,-0.674839,-0.366661,-0.383038,0.5676,False,0.2044,0.174193,1981,1999
CD000028_pub4_data.rds,4::1.0,10,-0.135175,-0.25902,-0.272303,2.014438,False,0.2219,0.082369,1986,1993
CD000028_pub4_data.rds,4::2.0,8,0.428217,-0.35101,-0.170535,0.398244,True,1.6848,0.728699,1986,1993
CD000028_pub4_data.rds,4::nan,12,-0.387335,-0.451414,-0.450618,1.163379,False,0.0928,0.062388,1981,1999
CD000028_pub4_data.rds,5::nan,12,-0.241132,-0.272418,0.018085,0.074999,True,1.6072,0.428645,1985,1993
CD000143_pub2_data.rds,1::overall,47,-3.563478,-0.650757,-0.723199,0.202948,False,0.7337,0.749347,1982,2005
CD000143_pub2_data.rds,2::overall,23,-1.845827,-0.621378,-0.177504,0.096165,False,0.8348,0.736542,1982,2005
CD000219_pub5_data.rds,1::overall,27,0.150835,-0.354187,-0.388865,2.57808,True,0.3362,0.361089,1981,2021
CD000219_pub5_data.rds,2::overall,11,0.684983,0.457652,0.578195,0.844101,False,0.1837,0.261765,1991,2021
CD000219_pub5_data.rds,3::overall,14,0.005994,-0.299913,-0.264665,44.155243,True,0.4208,0.305764,1985,2014
CD000219_pub5_data.rds,4::overall,7,-0.60827,-0.934542,-0.741655,1.219285,False,0.1462,0.216759,2007,2021
CD000219_pub5_data.rds,5::overall,6,-0.517358,-0.42238,-0.269748,0.521396,False,0.3177,0.283067,1991,2021
CD000219_pub5_data.rds,6::overall,6,-0.054478,-0.091858,-0.09906,1.818327,False,0.6239,0.09007,1985,2011
CD000478_pub5_data.rds,1::overall,32,-0.449532,-0.759165,-0.851654,1.894536,False,0.1285,0.075817,1992,2023
CD000478_pub5_data.rds,2::overall,6,0.795771,0.752202,0.469377,0.589839,False,0.1872,0.282826,2000,2022
CD000547_pub3_data.rds,10::overall,43,-0.427335,-0.018366,0.374346,0.876003,True,21.1273,0.407501,1994,2020
CD000547_pub3_data.rds,1::overall,28,0.222234,0.121916,0.065589,0.295137,False,0.4073,0.110689,1990,2017
CD000547_pub3_data.rds,3::overall,24,-0.08851,0.023055,-0.007209,0.081444,False,1.2005,0.189717,1989,2021
CD000547_pub3_data.rds,4::overall,9,-0.351802,-0.143814,2.56126,7.280402,True,1.4356,2.097288,1993,2020
CD000547_pub3_data.rds,5::overall,25,-0.06781,-0.247805,-0.430564,6.349558,False,0.2989,0.276246,1990,2012
CD000547_pub3_data.rds,6::overall,17,-0.498733,-0.692315,-0.733435,1.470597,False,0.1131,0.244323,1994,2021
CD000547_pub3_data.rds,7::overall,63,0.257687,0.79122,0.49356,1.915349,False,0.2274,0.529419,1995,2021
CD000547_pub3_data.rds,8::overall,57,2.291705,0.477167,0.538934,0.235167,False,0.6233,0.465453,1994,2020
CD001155_pub3_data.rds,1::overall,175,0.67515,-0.29891,-0.305683,0.452763,True,0.4515,1.185233,1995,2017
CD001155_pub3_data.rds,2::overall,478,-0.242148,-0.146745,-0.078284,0.32329,False,0.2536,0.028438,1996,2017
CD001155_pub3_data.rds,3::overall,75,-0.70968,-0.2871,-0.320931,0.45222,False,0.39,0.12904,1996,2018
CD001155_pub3_data.rds,4::overall,70,-0.031253,-0.149047,-0.160661,5.140733,False,0.7918,0.594314,1995,2018
CD001155_pub3_data.rds,5::overall,32,0.032261,-0.701795,-0.647115,20.058826,True,0.4275,0.993832,1995,2014
